number,title,user,labels,state,locked,created_at,updated_at,closed_at,comments
2997,👑[Enhancement] 希望能够加速openai，youtube，以及必应官网,HLHSM,['enhancement'],open,False,2023-11-10T11:24:44Z,2024-01-13T16:43:17Z,,7
2996,🐛[BUG] 在DNS加速模式下无法正常加速,shicaozhiwang,['bug'],open,False,2023-11-10T02:52:33Z,2023-11-10T02:53:26Z,,1
2993,🐛[BUG] 历史价格一直显示 正在读取历史价格,Fridayees,['bug'],open,False,2023-11-07T03:01:41Z,2023-11-07T03:01:41Z,,0
2992,🧐[Question] win11 on arm64无法加载GUI,catnomice,['question'],open,False,2023-11-07T02:49:20Z,2023-11-21T14:25:14Z,,3
2991,🐛[BUG] 加速后商店无法显示图片,luiqn2007,['bug'],open,False,2023-11-06T01:12:30Z,2023-11-06T01:12:51Z,,0
2990,🧐[Question] Mac 14.1 m1 使用系统代理无法打开GitHub、stream等网站，报404错误,TuAgT,['question'],open,False,2023-11-05T15:33:52Z,2023-11-05T16:01:23Z,,1
2985,Project Mobius,AigioL,[],open,False,2023-11-02T11:49:43Z,2023-11-02T11:49:43Z,,0
2984,🐛[BUG] 动态头像框显示异常,2315095914,['bug'],open,False,2023-10-31T04:34:20Z,2023-10-31T04:34:56Z,,0
2983,🐛[BUG] 应用状态栏，会进行多重显示,Kee02p,['bug'],open,False,2023-10-31T00:28:43Z,2023-11-13T06:40:06Z,,1
2981,👑[Enhancement] 开机自启不显示切换账号且要手动授权管理员权限,2315095914,['enhancement'],open,False,2023-10-30T04:35:02Z,2023-11-13T06:42:52Z,,1
2980,系统崩溃之后 重新做了系统 令牌文件没了 我已经恢复了之前的数据 令牌是否能重新恢复上,waa123123,['question'],open,False,2023-10-28T05:25:35Z,2023-10-28T05:25:35Z,,0
